word、PPT	生物信息工程师
office系列软件	土建工程师,鞋类产品开发方向
MongoDB	Java高级程序员
普通电脑问题处理	总裁助理
project	工程部经理 工程副总  ,实习生
用友NC	ERP实施顾问,财务or外贸,咨询实施顾问
Qlikview	项目经理
gcc / arm-linux-gcc	嵌入式开发工程师
配音	主持人
ModelSim	硬件研发主管
Hardware-Mobile Phone	硬件工程师,软件架构师,技术员，设备管理，机械设计、压力容器设计，流体机械设计，换热器设计，助理工程师，设备维护，化工机械,高级软件测试工程师,helpdesk 工程师,开发测试工程师,软件测试主管,开发处  主板EE,外贸专员
熟练操作autoCAD	兼职
ERP分销软件系统	营销总监
linux应用编程	嵌入式软件工程师
R language	金融类以及营销类
ant项目构建	Java高级工程师
熟练Office	产品设计，工业设计，结构设计
天正建筑制图	施工员
微软商业服务器	信息技术主管
WinForm	技术经理/主管
SQL sever 数据库	测试工程师/实习
SNMP协议	软件工程师
AutoCAD操作	景观方案助理
-	嵌入式软件工程师,生产管理,机械工程师,工艺工程师,会计,软件开发工程师,对公客户经理,市场运营,CAE/FEA/有限元分析,软件研发工程师
DIV+CSS、Table	java开发工程师
SAP等ERP软件	营销策划助理
DIV+CSS	网络管理员,软件工程师,网站运营
Qt	程序员
软件开发语言	技术支持经理
笔记本电脑硬件	技术支持工程师,电子工程师
Design/Media-Flash	网站编辑,市场经理/总监,技术支持工程师,精度管理,设计员,项目运营,渠道经理助理,产品经理,设计总监,FLEX PHP 高级工程师
CorelDRAW、AI	材料相关
MSSQL、MySQL、Oracle	实施工程师
VISUAL STUDIO	ASP.NET开发工程师,需求分析
.net, c#	项目经理
基本面分析	Analyst
AXURE	产品经理,产品专员,电子商务,产品经理实习生,电子商务运营经理,网站策划,android开发工程师,ui设计,电子商务经理,产品专员/市场营销/文案策划/互联网
C# 熟练	.net
金蝶、用友	会计
项目管理知识体系(PMBOK )	技术经理
java web 软件开发	软件工程师
Office Applications-MS Excel	实习生,会计,总经理,工程师,销售经理,项目经理,产品经理,咨询顾问,助理工程师,销售
OO、UML、设计模式、SSH、REST	资深java工程师
QT	C,嵌入式工程师
金融服务	项目经理,微小贷款客户经理
设备和维护	设备经理,设备维修,实验室主任助理,设备管理
Java Script	php程序员,开发软件工程师
