word、PPT	生物信息工程师
熟悉Android下的短信，联系人系统	Android开发工程师
Linux应用开发	嵌入式开发工程师
AIX	数据仓库工程师,数据仓库
注册资产评估师	财务主管
CAD；天正；PhotoShop;SketchUp;InDesign	设计
驾驶C1	会计
Struts2、Hibernate	java软件工程师
cobol	高级软件工程师
MAYA	影视后期
SOLIDWORK	门窗研发
熟练使用autocad	资料员
C,C++	java研发
高层管理	模具经理
KETTLE	数据仓库、报表开发
熟悉测试体系、测试理论、测试流程、测试方法； 	测试工程师
WEB开发技术如Ajax/JSTL/	JAVA工程师
影视后期	三维动画师
html	java软件工程师,软件开发,电商专员,php,软件工程师 通信工程师,软件工程师,编辑 微博推广 行政 艺术品编辑,软件测试,软件测试工程师,java开发相关岗位
Bloomberg	二级市场分析
QC/TD	测试经理
办公软件 	人事专员/助理
js,jquery	php程序员
程序员	生产总监
项目管理project	工程总监
Android操作系统	软件工程师,android软件工程师,嵌入式软件开发,android工程师,android开发,软件测试工程师,android开发工程师,嵌入式软件工程师,实习生,Android应用开发工程师
通过国家计算机二级c考试	电气类，控制类工程师
Embedded	嵌入式软件工程师
superworks制图	电气工程师
wps	车间主任（生产主管）
solidworkshop	工艺工程师
mysql、sqlServer	软件工程师
wpf	asp.net
熟练使用word、excel、powerpoint等办公软件	会计助理 会计文员 出纳 会计
IE	Lean Engineer,IE技术员
ID	平面设计
物料分析	管理员
Windows Develop-Access	会计主管,Senior Mechanical Engineer,行政助理,product supervisor/senior product manager,产品总监,机械工程师,客服经理,高级软件工程师,综合管理部经理,审计助理
英语等级证书 (CET)6级 450分	金融 投资 方向
鲁班土建算量软件	工程预算员
MySQL数据库	高级软件工程师
编程	硬件研发工程师
C++语言	资料员,高级测试工程师
会性能测试（如：LoadRunner）	测试部
数据库数据管理	营销策划、项目管理、管理咨询职位、银行金融业、营销管理,软件测试工程师
硬件描述语言	工程师或助理
审计	审计主管,审计经理/财务经理,财务总监、税务、审计总监
项目管理（project）	高级产品经理
IAR软件	硬件工程师
Office系列办公软件	业务代表
导演	导演 编剧 剪接 摄影
C++编程语言	高级软件工程师，项目经理,嵌入式软件研发工程师,软件测试工程师
手绘板	设计主管或设计营销类
MYSQL,ORCAL	软件开发
cocos2d	ios软件工程师,IOS开发工程师
office 办公软件	客服,嵌入式软件工程师
extjs	软件工程师
广联达软件	造价员
autocad	液压工程师,机械工程师,人事经理,电气工程师助理,项目工程师,副高级工程师,无,Structural Engineer,研发岗位,机械维修
PLC编程（西门子、AB）	电气工程师
食品和饮料行业	助理
jsp,java	web程序员
pkpm	施工员,结构设计,土木工程
网页制作	会展专员
MFC (Microsoft Foundation Class) Library	软件测试开发,高级软件工程师 架构师 软件开发,IOS高级软件工程师,高级软件工程师,android开发工程师
编程工具：熟练使用MyEclipse、E	java软件工程师
笔记本电脑	客服主管
兽医学	畜禽疾病防治技术员
经营策略	重庆地区首席代表
阿拉伯语	阿拉伯语翻译,直销员,阿拉伯语翻译（口、笔）
SVN	JavaWeb软件开发,软件工程师,.NET软件开发工程师
了解Oracle,MySQL等数据库知识	JAVA软件开发工程师
Design/Media-Premiere	招聘主管/经理  人事主管/经理,工程监理,Business Controllor,三维建模人员,客服代表,平面设计,实习生,营销经理,用户体验设计,金融银行团队
TCP/IP通信原理	软件开发
安全/工作安全	项目经理/售前工程师,加工管理,审计专员
Lumion	助理
产品演示	工程师
Eclipse	软件工程师
网络安全	网络工程师,技术工程师,技术支持,前处理工艺师
XML (EXtensible Markup Language)	实习生
Project	项目经理,市场营销，质量管理,信息主管
嵌入式软件	嵌入式软件工程师,售前,初级软件工程师
AJAX	java开发工程师,ASP.Net程序员,高级软件工程师
SketchUp	景观设计助理,景观 规划设计,园林景观设计,助理景观设计师,操作员工,实习生,助理设计师,景观方案设计、景观扩初设计、项目策划
C语言	软件工程师,软件开发工程师,数通工程师,外贸业务员,JAVA程序员,SQE,海外技术,开发工程师,销售/市场/助理/零售,维修工程师
Design/Media-Adobe Photoshop	法务,网站编辑,投资顾问,印前出版车间实习生,实验员 研究员,产品开发专员,软件工程师,管理培训生,网站策划,机械工程师、产品结构设计、模具设计、工业产品设计
大型系统设计能力	CTO
1、出色的培训演讲技巧；2、组织较大规模的对外人员招聘活动；3、出色的领导能力；4、计算机技能	会计兼客服
AdobeIndesign	市场经理
多进程、多线程编程	c/c++软件工程师
Solidworks高级设计	机械设计绘图
adams	机械工程师
PADS/Protel/AD	助理工程师
UG、PROE	技术研发
windbg调试技巧	病毒分析
Dreamweave	网页设计
SQL server数据库	软件工程师
Outlook express	财务助理
宏业	资料员,造价员
Keil C	电子工程师,电子工程师助理,技术人员,DSP工程师,网络优化工程师，电子工程师，软件工程师等,嵌入式软件工程师/单片机工程师,电子工程师 硬件工程师 电子研发工程师
熟练基于开源框架下Struts	项目管理
cisco	运维工程师,无
Linux下开发	Android软件工程师
Servlet	软件工程师,java程序员
HTML，CSS+DIV	.net工程师
Struts	软件开发工程师,Java,Java软件工程师,java软件工程师
ms excel	会计
Jakarta Java Struts Framework	J2EE工程师
面向对象编程能力与设计模式	JAVA软件工程师
二级建造师	结构设计,土建工程师,技术员工长
struts1.2	Java高级软件工程师
UML	软件工程师
AE	设计师,会计,动画 后期,UED用户体验验设计,记者,广告制作
Pro/e	项目经理,移转配送
HFMS系统	会计
sispipe	给排水设计
CAD、Project	文职
软件开发方法	软件研发
Photoshop图像处理	外贸注册登记
非线性编辑	记者/节目策划及编辑/后期制作,记者,编辑记者
jsp javascript ajax	java程序员
生物医学	药品化验员，行政专员
ArcGIS	遥感影像产品工程师,实习生,java程序员
Word、Excel、PowerPoint、Visio	软件工程师/Windows Phone开发工程师
速达软件、Access数据库	财务实习生
Pro/E	机械工程师,机械设计工程师  ,机械设计师,产品研发工程师,结构工程师,制冷,工业设计师,液压、重工、机械、气动、仪器仪表等领域技术人员、工程师等职务,CAE工程师,SQE
多种绘图软件，PROTLE等	电子工程师
销售产品类型	销售主管或教学主管,业务销售代表,区域经理,销售推广,网站运营专员,销售顾问
客户服务管理	客服，房地产，人力资源，销售，顾问，银行，
软件销售	销售经理
javaweb开发	初级软件工程师
系统	ERP运维
熟练操作office办公软件	财务会计
QA & TEST-C++test	架构师，项目经理，技术经理，高级顾问,FAE ,销售工程师,总经理,测试工程师
常用办公软件、ERP软件	财务总监助理&财务分析
pro/e三维建模	销售经理
X Windows Servers	网络工程师
Word, Excel, PowerPoint, Outlook	采购/贸易，机械工程师
MySQL等	作家
熟练掌握基于struts+spring+	java工程师
ERP-用友	财务部长
开发工具：VC6.0 、Visual S	软件测试工程师
压力容器	操作技术
工程管理	工程师,土建工程师,工程管理,技术员工程监理项目主管,工程造价,工程项目经理,Senior manufacturing engineer,职员,项目总经理或项目副总经理
会计电算化证书	会计助理,会计,餐厅经理 店长 大堂经理 ,中国区总裁和德国董事的秘书、翻译，兼任出纳,人力资源类,会计主管,深圳富士康集团,财务总监、财务经理、主管会计,出纳员/会计助理,会计助理、出纳
QuickTest Profession	软件测试经理 主管
spss	会计,理财类,财务管理，采购，物流,数据分析,数据分析员,债券交易员
struts1	java软件工程师
struts2	java软件工程师,java开发工程师,软件工程师,java 软件工程师,java开发,java软件开发
PCB布线	硬件工程师/PCB工程师,硬件工程师,应届毕业生,电子工程是助理,单片机软硬件，电子工程师
ospf	网络工程师
Office软件	化工设计,高级软件工程师
Kingview、office、CAD	电气工程师
outlook	经理助理,无
Shell脚本	软件工程师
机动车驾驶证C	项目经理,电气技术员,外语 市场 行政,征信调查,人事、行政、财务会计、助理,售后服务,财务,管理培训生,仓库/物料管理员,行政助理
机动车驾驶证B	人力资源主管,行政助理
服务器存储管理	小型机维护工程师
软件测试	软件测试工程师,软件测试,测试工程师,软件、测试、项目,网络工程师,技术支持,测试工程师及测试项目负责人,软件工程师,QA,linux嵌入式C开发工程师，嵌入式工程师,linux驱动工程师
Unix/Linux/BSD Develop-C++	软件工程师
Protel 99SE	电子工程师
视频制作	行政总监、经理,机电工程师,市场部经理
视频编辑/制作	产品经理
3dStudio Max	产品设计
CSS+DIV	软件工程师,java软件工程师,程序员,网站美工,java工程师,网页设计/美工,网页设计,网站维护/设计/推广,网页设计师,前端开发
电气工程	电气工程师,技术支持工程师
数学教学	数据分析，会计，教师，广播电台主持人
Fluent 软件	流体力学,结构设计
bloomberg等金融软件	资金交易
palisade decition	数据分析
TracePro	结构工程师
业务流程管理	业务拓展主管
caxa机械制图	技术 设计 科研
金蝶及用友软件	会计
offce办公软件	机械工程师
sql server 数据库	e-HR实施顾问,java程序员
WORD,EXCEL	设计
ajax/jquery	java初级软件工程师
3D、CAD制图软件	行政人事经理
硬件调试	电子工程师
3dMAX	UI设计师
Plant3D	工艺管道工程师
C/C++ linux	嵌入式软件工程师
设计模式	软件工程师,软件开发,高级软件工程师
AD9/AD10	单片机软件工程师
熟练运用excel，word，PowerPoint	船务
解决客户问题	销售代表
illustrator	平面设计师,平面设计,网页设计,交互设计师, 产品设计师实习,采购主管,服装设计助理
多线程	项目经理
SPSS、AMOS数据处理软件	The minister of executive department
分析技能	投资管理,研发工程师,工程师,董事
win XP	机械工程师
办公设备	行政助理、人事助理
Adobe illustrator	服装设计,设计总监
Oracle、SQL Server	高级软件开发工程师
ac	客户经理
Network-TCP\/IP	项目经理,技术支持工程师,软件工程师,网络工程师,软件测试工程师,IT 总监,项目工程师/项目经理,Tech Lead/Scrum Master/Team Leader/软件架构师/高级软件工程师,软件研发工程师,运维经理
ae	fl动画
ai	UXD
用友ERP和中远集团OA系统	副总裁
SYBASE IQ	数据库工程师/管理员
.NET	网站编辑,软件工程师,C#开发,IT审计,总经理助理
Database-Visual Foxpro	财务,会计,技术支持工程师,办公室主任,HR,行政人事专员,经理助理、人事主管,测试部,财务会计,财务经理
photoshop、chemoffice	制造工程师
ibatis	软件工程师
Microsoft Windows操作系统	技术支持工程师/项目管理师/销售工程师,测试工程师,企业研发，设计院，大学教师，博士后,市场专员,软件测试工程师,律师助理,客户代表,商务经理,人力资源,Linux系统工程师
IPPBX	测试部部门经理
Web Develop-ASP.NET(VB.NET)	研究分析师,渠道管理,欧美事业部 副总经理/副总裁,sharepoint软件工程师
数据结构和算法	C++软件工程师,软件实施顾问
